Filename,Detected Circles,Expected Circles,Correct Match
006-004-a-019-year11rabbit.png,0,11,False
034-026-a-124-year1flint.png,0,1,False
030-021-a-115-year5reed.png,4,5,False
027-019-a-102-year3reed.png,2,3,False
002-001-a-003-year3reed.png,1,3,False
005-004-a-016-year9house.png,8,9,False
015-012-a-053-year10reed.png,3,10,False
073-034-a-188-year8rabbit.png,7,8,False
074-034-a-194-year8rabbit.png,5,8,False
049-030-a-144-year5reed.png,0,5,False
004-003-a-009-year10house.png,4,10,False
013-010-a-045-year2flint.png,0,2,False
027-020-a-104-year13reed.png,5,13,False
029-020-a-111-year7house.png,0,7,False
049-030-b-142-year1reed.png,1,1,True
016-013-a-058-year7rabbit.png,1,7,False
049-029-b-140-year6reed.png,6,6,True
013-010-a-045-year13house.png,0,13,False
010-007-a-030-year1reed.png,0,1,False
009-006-a-025-year12rabbit.png,12,12,True
021-016-a-076-year3reed.png,0,3,False
047-028-b-136-year7house.png,7,7,True
014-011-b-046-year7reed.png,1,7,False
004-003-a-008-year12flint.png,5,12,False
007-005-a-022-year4house.png,1,4,False
027-019-a-099-year6flint.png,0,6,False
027-019-a-100-year10house.png,3,10,False
014-011-a-050-year7flint.png,0,7,False
025-019-a-092-year1reed.png,0,1,False
022-017-a-078-year12flint.png,1,12,False
003-002-a-005-year5house-1.png,2,5,False
001-001-a-002-year1reed.png,0,1,False
003-002-a-004-year3reed.png,3,3,True
049-029-b-139-year2reed.png,2,2,True
004-003-b-012-year13rabbit.png,5,13,False
020-015-a-071-year8flint.png,3,8,False
005-004-a-015-year5flint.png,4,5,False
009-006-a-027-year8house.png,5,8,False
004-003-a-009-yearhouse.png,0,-1,False
027-020-a-104-year7rabbit.png,3,7,False
024-019-a-084-year11house.png,3,11,False
027-019-a-103-year13flint.png,2,13,False
003-002-a-006-year5house.png,0,5,False
047-028-b-135-year6flint.png,1,6,False
037-027-a-128-year5flint.png,2,5,False
049-029-b-140-year6reed-1.png,6,6,True
027-019-a-101-year12reed.png,2,12,False
047-028-a-137-year10house.png,5,10,False
028-020-a-106-year2house.png,2,2,True
039-027-b-129-year7reed.png,1,7,False
005-004-a-014-year1reed.png,0,1,False
021-016-a-075-year3reed.png,2,3,False
088-037-a-232-year10house.png,10,10,True
053-031-a-163-year6flint.png,5,6,False
089-037-a-233-year11house.png,6,11,False
081-036-a-208-year9reed.png,9,9,True
012-009-a-043-year2reed.png,1,2,False
009-006-a-023-year1reed.png,0,1,False
028-020-a-106-year9flint.png,10,9,False
002-001-a-003-year7flint.png,0,7,False
019-015-a-067-year7rabbit.png,4,7,False
048-029-b-138-year7reed.png,6,7,False
022-017-a-080-year1reed.png,1,1,True
057-032-b-182-year7house.png,7,7,True
026-019-a-094-year8reed.png,5,8,False
024-019-a-089-year8reed.png,3,8,False
004-003-a-010-year12flint.png,0,12,False
001-001-a-001-year1reed.png,1,1,True
020-015-a-069-year10house.png,9,10,False
029-020-a-108-year9house.png,1,9,False
009-006-a-024-year5house.png,1,5,False
026-019-a-097-year5reed.png,3,5,False
029-020-a-110-year8house.png,3,8,False
010-007-a-029-year5house.png,0,5,False
089-037-a-234-year12rabbit.png,13,12,False
025-019-a-091-year11reed.png,10,11,False
012-009-b-040-year13flint.png,1,13,False
